name, r, g, b
aliceblue, 240, 248, 255
aqua, 0, 255, 255
black, 0, 0, 0
blue, 0, 0, 255
blueviolet, 138, 43, 226
brown, 165, 42, 42
chartreuse, 127, 255, 0
chocolate, 210, 105, 30
cornflowerblue, 100, 149, 237
crimson, 220, 20, 60
cyan, 0, 255, 255
darkblue, 0, 0, 139
darkgray, 169, 169, 169
darkgreen, 0, 100, 0
darkorange, 255, 140, 0
darkred, 139, 0, 0
darkviolet, 148, 0, 211
deeppink, 255, 20, 147
deepskyblue, 0, 191, 255
dimgray, 105, 105, 105
dodgerblue, 30, 144, 255
firebrick, 178, 34, 34
forestgreen, 34, 139, 34
fuchsia, 255, 0, 255
gainsboro, 220, 220, 220
gold, 255, 215, 0
goldenrod, 218, 165, 32
gray, 128, 128, 128
green, 0, 128, 0
hotpink, 255, 105, 180
indianred, 205, 92, 92
indigo, 75, 0, 130
khaki, 240, 230, 140
lavender, 230, 230, 250
lawngreen, 124, 252, 0
lightblue, 173, 216, 230
lightcoral, 240, 128, 128
lightgray, 211, 211, 211
lightgreen, 144, 238, 144
lightpink, 255, 182, 193
lightsalmon, 255, 160, 122
lightslategray, 119, 136, 153
lightsteelblue, 176, 196, 222
lightyellow, 255, 255, 224
lime, 0, 255, 0
limegreen, 50, 205, 50
magenta, 255, 0, 255
maroon, 128, 0, 0
material-amber, 255, 193, 7
material-blue, 33, 150, 243
material-cyan, 0, 188, 212
material-deep-orange, 255, 87, 34
material-deep-purple, 103, 58, 183
material-green, 76, 175, 80
material-indigo, 63, 81, 181
material-light-blue, 3, 169, 244
material-light-green, 139, 195, 74
material-lime, 205, 220, 57
material-orange, 255, 152, 0
material-pink, 233, 30, 99
material-purple, 156, 39, 176
material-red, 244, 67, 54
material-teal, 0, 150, 136
material-yellow, 255, 235, 59
mediumorchid, 186, 85, 211
mediumseagreen, 60, 179, 113
midnightblue, 25, 25, 112
navy, 0, 0, 128
olive, 128, 128, 0
orange, 255, 165, 0
orangered, 255, 69, 0
peru, 205, 133, 63
pink, 255, 192, 203
plum, 221, 160, 221
powderblue, 176, 224, 230
purple, 128, 0, 128
red, 255, 0, 0
royalblue, 65, 105, 225
salmon, 250, 128, 114
sandybrown, 244, 164, 96
sienna, 160, 82, 45
silver, 192, 192, 192
skyblue, 135, 206, 235
slategray, 112, 128, 144
springgreen, 0, 255, 127
steelblue, 70, 130, 180
tan, 210, 180, 140
teal, 0, 128, 128
tomato, 255, 99, 71
violet, 238, 130, 238
webgray, 102, 102, 102
websafe-blue, 0, 0, 204
websafe-green, 0, 204, 0
websafe-red, 204, 0, 0
white, 255, 255, 255
yellow, 255, 255, 0
